id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,24h–38t,78334,0.23982225940000002,3,10,3.8494278853999995,15,False
2,292h–295t,17192,0.1433776954,1,3,0.24261080420000003,4,False
3,406h–407t,8596,0.106641269,1,5,0.6805418896000001,8,False
4,262h–263t,60,0.0172282748,1,3,0.0172282748,3,False
5,251h–252t,260,0.0172282748,1,3,0.0172282748,3,False
6,306h–307t,5032,0.005407295,1,2,0.13851933140000003,3,False
7,129h–130t,1,0.0048181004,1,2,0.0048181004,2,False
8,115h–116t,7,0.0048181004,1,2,0.0048181004,2,False
9,375h–376t,7370,0,0,0,0.8288053337999999,7,False
10,89h–91t,12699,0,0,0,0.06732104190000002,2,False
11,430h–435t,21429,0,0,0,0.0672651991,2,False
12,402h–403t,2027,0,0,0,0.0671313753,2,False
13,346h–360t,65676,0,0,0,0.056545921799999996,3,False
14,210h–215t,23166,0,0,0,0.0431491828,3,False
15,463h–464t,717,0,0,0,0.0143657331,2,False
16,465h–469t,12799,0,0,0,0.014095378799999999,2,False
17,206h–207t,1766,0,0,0,0.014095378799999999,2,False
18,310h–311t,2026,0,0,0,0.011575844499999998,2,False
19,370h–371t,16195,0,0,0,1.9782099999999998e-05,2,False
20,84h–85t,1679,0,0,0,0,1,True
21,70h–71t,1,0,0,0,0,1,True
22,66h–68t,4672,0,0,0,0,0,True
23,65h–66t,1,0,0,0,0,0,True
24,59h–63t,6058,0,0,0,0,1,True
25,56h–59t,19165,0,0,0,0,0,True
26,50h–56t,9841,0,0,0,0,1,True
27,49h–50t,578,0,0,0,0,0,True
28,48h–49t,632,0,0,0,0,1,True
29,47h–48t,1,0,0,0,0,1,True
30,461h–462t,29,0,0,0,0,1,True
31,457h–458t,275,0,0,0,0,0,True
32,456h–457t,25,0,0,0,0,0,True
33,453h–454t,198,0,0,0,0,1,True
34,451h–452t,482,0,0,0,0,0,True
35,442h–444t,4733,0,0,0,0,0,True
36,441h–442t,77,0,0,0,0,0,True
37,43h–44t,3626,0,0,0,0,0,True
38,427h–428t,1194,0,0,0,0,1,True
39,41h–43t,6383,0,0,0,0,0,True
40,415h–416t,1,0,0,0,0,1,True
41,407h–414t,6007,0,0,0,0,0,True
42,404h–405t,2801,0,0,0,0,0,True
43,403h–404t,1,0,0,0,0,0,True
44,389h–390t,2705,0,0,0,0,0,True
45,388h–389t,905,0,0,0,0,0,True
46,384h–386t,1453,0,0,0,0,1,True
47,380h–384t,6214,0,0,0,0,1,True
48,379h–380t,2696,0,0,0,0,1,True
49,378h–379t,613,0,0,0,0,1,True
50,364h–365t,1,0,0,0,0,1,True
51,361h–363t,5246,0,0,0,0,1,True
52,345h–346t,663,0,0,0,0,1,True
53,344h–345t,1252,0,0,0,0,1,True
54,336h–337t,9,0,0,0,0,1,True
55,333h–335t,7856,0,0,0,0,1,True
56,332h–333t,1640,0,0,0,0,0,True
57,331h–332t,1,0,0,0,0,0,True
58,330h–331t,161,0,0,0,0,0,True
59,329h–330t,977,0,0,0,0,1,True
60,328h–329t,12,0,0,0,0,1,True
61,317h–320t,23401,0,0,0,0,1,True
62,312h–313t,1,0,0,0,0,1,True
63,309h–310t,798,0,0,0,0,0,True
64,308h–309t,1,0,0,0,0,0,True
65,304h–305t,1,0,0,0,0,1,True
66,303h–304t,1,0,0,0,0,1,True
67,302h–303t,7,0,0,0,0,1,True
68,300h–301t,634,0,0,0,0,0,True
69,299h–300t,481,0,0,0,0,0,True
70,296h–297t,1,0,0,0,0,1,True
71,290h–291t,37,0,0,0,0,0,True
72,289h–290t,8,0,0,0,0,0,True
73,276h–287t,1487,0,0,0,0,0,True
74,275h–276t,647,0,0,0,0,0,True
75,270h–271t,1,0,0,0,0,1,True
76,269h–270t,2,0,0,0,0,1,True
77,263h–264t,1,0,0,0,0,1,True
78,261h–262t,24,0,0,0,0,0,True
79,260h–261t,358,0,0,0,0,0,True
80,244h–245t,1,0,0,0,0,0,True
81,235h–236t,1069,0,0,0,0,0,True
82,234h–235t,1,0,0,0,0,0,True
83,233h–234t,1172,0,0,0,0,0,True
84,232h–233t,2,0,0,0,0,0,True
85,228h–229t,43,0,0,0,0,0,True
86,225h–226t,1959,0,0,0,0,0,True
87,224h–225t,1263,0,0,0,0,0,True
88,223h–224t,1,0,0,0,0,0,True
89,222h–223t,2273,0,0,0,0,0,True
90,221h–222t,3565,0,0,0,0,1,True
91,21h–22t,494,0,0,0,0,1,True
92,218h–219t,423,0,0,0,0,0,True
93,215h–216t,301,0,0,0,0,0,True
94,20h–21t,5867,0,0,0,0,1,True
95,205h–206t,10,0,0,0,0,1,True
96,204h–205t,276,0,0,0,0,1,True
97,203h–204t,1,0,0,0,0,1,True
98,200h–201t,2699,0,0,0,0,1,True
99,19h–20t,1190,0,0,0,0,0,True
100,196h–198t,14470,0,0,0,0,0,True
101,18h–19t,5116,0,0,0,0,0,True
102,187h–188t,2341,0,0,0,0,0,True
103,186h–187t,81,0,0,0,0,1,True
104,185h–186t,1,0,0,0,0,1,True
105,184h–185t,26,0,0,0,0,1,True
106,183h–184t,1,0,0,0,0,1,True
107,181h–182t,2145,0,0,0,0,1,True
108,180h–181t,1,0,0,0,0,1,True
109,177h–179t,3094,0,0,0,0,1,True
110,170h–171t,1741,0,0,0,0,1,True
111,169h–170t,1,0,0,0,0,0,True
112,168h–169t,298,0,0,0,0,0,True
113,167h–168t,1,0,0,0,0,0,True
114,164h–165t,484,0,0,0,0,1,True
115,163h–164t,84,0,0,0,0,0,True
116,162h–163t,768,0,0,0,0,1,True
117,161h–162t,22,0,0,0,0,0,True
118,160h–161t,1,0,0,0,0,0,True
119,158h–159t,1,0,0,0,0,0,True
120,157h–158t,261,0,0,0,0,0,True
121,156h–157t,1,0,0,0,0,0,True
122,155h–156t,329,0,0,0,0,0,True
123,154h–155t,2193,0,0,0,0,1,True
124,152h–153t,1551,0,0,0,0,1,True
125,150h–152t,2874,0,0,0,0,1,True
126,14h–15t,1,0,0,0,0,0,True
127,139h–140t,125,0,0,0,0,0,True
128,138h–139t,1468,0,0,0,0,0,True
129,136h–137t,4010,0,0,0,0,0,True
130,135h–136t,3373,0,0,0,0,1,True
131,134h–135t,1,0,0,0,0,1,True
132,132h–133t,1,0,0,0,0,1,True
133,131h–132t,2,0,0,0,0,1,True
134,130h–131t,193,0,0,0,0,1,True
135,12h–13t,75,0,0,0,0,0,True
136,128h–129t,8,0,0,0,0,0,True
137,127h–128t,1132,0,0,0,0,0,True
138,11h–12t,1219,0,0,0,0,0,True
139,118h–119t,724,0,0,0,0,0,True
140,117h–118t,1,0,0,0,0,0,True
141,110h–111t,4,0,0,0,0,0,True
142,10t–469h,11197,0,0,0,0,0,True
143,109h–110t,94,0,0,0,0,0,True
144,108h–109t,120,0,0,0,0,0,True
145,107h–108t,341,0,0,0,0,0,True
146,106h–107t,1,0,0,0,0,1,True
147,101h–102t,800,0,0,0,0,0,True
148,100h–101t,1956,0,0,0,0,0,True
