vertex1,vertex2,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,parallel_breakpoint_score,parallel_breakpoint_count
28t,6h,0,0,0,0.09483808140611424,5
639h,650t,0,0,0,0,1
47h,49t,4.00000200011636e-06,1,2,4.00000200011636e-06,2
576h,579t,4.00000200011636e-06,1,2,0.0007108223438042835,3
622h,623t,5.37153063935276e-05,1,2,5.37153063935276e-05,2
650h,654t,0,0,0,0,1
586h,593t,0,0,0,0,1
394h,395t,0,0,0,1.00000050002909e-06,2
236h,238t,0,0,0,0,1
427h,428t,0,0,0,3.54726737372441e-05,2
525h,526t,0,0,0,0,1
444h,445t,0,0,0,0,1
325h,327t,0,0,0,0,1
169h,170t,0,0,0,0.028096134200693373,2
230h,232t,0,0,0,0,1
93h,95t,0,0,0,0,1
134h,135t,0,0,0,0,1
532h,533t,0,0,0,0,1
104h,105t,0,0,0,0,1
430h,440t,0,0,0,0.04309834735220096,3
491h,498t,0,0,0,0,1
357h,366t,0,0,0,0.07561151589025175,3
272h,273t,0,0,0,0,1
200h,208t,0.0942245577002076,1,3,0.0942245577002076,3
579h,580t,0,0,0,0.03484415986450979,4
267h,268t,0.0009560880216844042,1,3,0.0949722768093761,5
68h,69t,0,0,0,1.823744710732928e-05,2
252h,253t,0,0,0,0,1
278h,279t,0,0,0,0,1
498h,499t,0,0,0,0,1
269h,270t,0,0,0,0,1
327h,328t,0,0,0,0,1
197h,200t,0,0,0,0,1
445h,481t,0.16984751045060056,4,11,1.8321664997626759,14
111h,127t,0,0,0,0.10675491961770425,4
179h,180t,0,0,0,0,1
193h,196t,0.07446677450478523,1,3,0.24271068148851566,5
182h,183t,0,0,0,0,1
28h,29t,0,0,0,0,1
571h,572t,0,0,0,0,1
555h,556t,0,0,0,0,1
61h,68t,0,0,0,0,1
500h,505t,0,0,0,0.0696601066295713,3
223h,229t,0,0,0,1.823744710732928e-05,2
628h,629t,0,0,0,0,1
37h,38t,0,0,0,0,1
78h,88t,0.0002000902239233467,1,2,0.20264117685896074,5
218h,219t,0,0,0,0,1
627h,628t,0,0,0,0,1
41h,42t,0,0,0,0,1
483h,484t,0,0,0,0,1
210h,211t,0,0,0,0,1
265h,266t,0,0,0,0,1
259h,260t,0,0,0,0,1
347h,348t,0,0,0,0,1
273h,274t,0,0,0,0,1
528h,529t,0,0,0,0,1
518h,519t,0,0,0,0,1
541h,542t,0,0,0,0,1
535h,541t,0,0,0,0,1
