block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count
129,0,0.004979339999999999,2,6
361,1,0.00297254,1,3
353,1,0.00297254,1,3
10,2,0.00224822,1,3
78,3,0.00191996,2,4
285,4,0.0017105599999999999,2,5
180,5,0.00162217,1,2
330,6,0.0015231799999999998,1,2
326,6,0.0015231799999999998,1,2
344,7,0.0014951699999999999,2,4
80,8,0.0014762499999999997,1,2
79,8,0.0014762499999999997,1,2
77,8,0.0014762499999999997,1,2
76,8,0.0014762499999999997,1,2
75,8,0.0014762499999999997,1,2
74,8,0.0014762499999999997,1,2
362,9,0.0012744499999999999,1,2
82,8,0.00110757,1,2
81,8,0.00110757,1,2
113,10,0.0010511399999999999,1,2
357,1,0.00099555,1,2
356,1,0.00099555,1,2
355,1,0.00099555,1,2
354,1,0.00099555,1,2
282,2,0.00099555,1,2
254,11,0.00099555,1,2
253,11,0.00099555,1,2
50,11,0.00099555,1,2
360,1,0.0008594,1,2
359,1,0.0008594,1,2
358,1,0.0008594,1,2
352,1,0.0008594,1,2
141,8,0.0008594,1,2
140,8,0.0008594,1,2
139,8,0.0008594,1,2
138,8,0.0008594,1,2
137,8,0.0008594,1,2
115,8,0.00084296,1,2
292,9,0.00071769,1,2
226,5,0.00071769,1,2
224,5,0.00071769,1,2
183,12,0.00071769,1,2
182,12,0.00071769,1,2
328,13,0.00015551,1,2
