block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,mean_copies,tree_consistent
154,0,0.00297254,1,3,0.11764705882352941,False
146,1,0.0015231799999999998,1,2,0.6764705882352942,False
144,1,0.0015231799999999998,1,2,0.6764705882352942,False
40,2,0.0014762499999999997,1,2,0.9411764705882353,False
156,0,0.00099555,1,2,0.058823529411764705,False
155,0,0.00099555,1,2,0.058823529411764705,False
112,3,0.00099555,1,2,2.0294117647058822,False
157,0,0.0008594,1,2,0.08823529411764706,False
66,4,0.0008594,1,2,0.9117647058823529,False
65,4,0.0008594,1,2,0.9117647058823529,False
64,4,0.0008594,1,2,0.9117647058823529,False
63,4,0.0008594,1,2,0.9117647058823529,False
130,5,0.00071769,1,2,0.17647058823529413,False
145,6,0.00015551,1,2,0.5,False
153,7,0,0,0,0.2647058823529412,True
152,7,0,0,0,0.2647058823529412,True
151,7,0,0,0,0.2647058823529412,True
150,8,0,0,0,0.08823529411764706,True
149,5,0,0,0,0.20588235294117646,True
148,5,0,0,0,0.2647058823529412,True
147,5,0,0,0,0.2647058823529412,True
143,5,0,0,0,0.2647058823529412,True
142,5,0,0,0,0.2647058823529412,True
141,5,0,0,0,0.2647058823529412,True
140,5,0,0,0,0.2647058823529412,True
139,5,0,0,0,0.2647058823529412,True
138,5,0,0,0,0.2647058823529412,True
137,5,0,0,0,0.2647058823529412,True
136,5,0,0,0,0.2647058823529412,True
135,5,0,0,0,0.2647058823529412,True
134,5,0,0,0,0.2647058823529412,True
133,9,0,0,0,0.4117647058823529,True
132,9,0,0,0,0.4117647058823529,True
131,5,0,0,0,0.14705882352941177,True
129,2,0,0,0,1,True
128,2,0,0,0,1,True
127,2,0,0,0,1,True
126,2,0,0,0,1,True
125,2,0,0,0,1,True
124,2,0,0,0,1,True
123,2,0,0,0,1.0294117647058822,True
122,2,0,0,0,1.0294117647058822,True
121,2,0,0,0,1.0294117647058822,True
120,2,0,0,0,1.0294117647058822,True
119,10,0,0,0,0.7647058823529411,True
118,2,0,0,0,1,True
117,2,0,0,0,1,True
116,2,0,0,0,1,True
115,2,0,0,0,1,True
114,2,0,0,0,1,True
113,2,0,0,0,1,True
111,2,0,0,0,1,True
110,2,0,0,0,1,True
109,2,0,0,0,1,True
108,2,0,0,0,1,True
107,2,0,0,0,1,True
106,2,0,0,0,1,True
105,10,0,0,0,0.7352941176470589,True
104,2,0,0,0,1,True
103,2,0,0,0,1,True
102,2,0,0,0,1,True
101,2,0,0,0,1,True
100,2,0,0,0,1,True
99,2,0,0,0,1,True
98,2,0,0,0,1,True
97,10,0,0,0,0.8529411764705882,True
96,2,0,0,0,1,True
95,2,0,0,0,1,True
94,2,0,0,0,1,True
93,2,0,0,0,1,True
92,2,0,0,0,1,True
91,2,0,0,0,1,True
90,2,0,0,0,1,True
89,2,0,0,0,1,True
88,2,0,0,0,1,True
87,2,0,0,0,1,True
86,2,0,0,0,1,True
85,2,0,0,0,1,True
84,2,0,0,0,1,True
83,2,0,0,0,1,True
82,2,0,0,0,1,True
81,2,0,0,0,1,True
80,2,0,0,0,1,True
79,2,0,0,0,1,True
78,2,0,0,0,1,True
77,2,0,0,0,1,True
76,2,0,0,0,1,True
75,2,0,0,0,1,True
74,2,0,0,0,1,True
73,2,0,0,0,1,True
72,2,0,0,0,0.9705882352941176,True
71,2,0,0,0,0.9705882352941176,True
70,10,0,0,0,0.7647058823529411,True
69,10,0,0,0,0.7647058823529411,True
68,10,0,0,0,0.7647058823529411,True
67,10,0,0,0,0.7647058823529411,True
62,2,0,0,0,0.9705882352941176,True
61,2,0,0,0,0.9705882352941176,True
60,2,0,0,0,1,True
59,2,0,0,0,1,True
58,2,0,0,0,1,True
57,2,0,0,0,1,True
56,2,0,0,0,1,True
55,2,0,0,0,1,True
54,2,0,0,0,1,True
53,2,0,0,0,1,True
52,2,0,0,0,1,True
51,2,0,0,0,0.9705882352941176,True
50,2,0,0,0,0.9705882352941176,True
49,2,0,0,0,1,True
48,2,0,0,0,1,True
47,2,0,0,0,1,True
46,2,0,0,0,1,True
45,2,0,0,0,1,True
44,2,0,0,0,1,True
43,2,0,0,0,1,True
42,2,0,0,0,1,True
41,2,0,0,0,1,True
39,2,0,0,0,1,True
38,2,0,0,0,1,True
37,2,0,0,0,1,True
36,2,0,0,0,1,True
35,2,0,0,0,1,True
34,2,0,0,0,1,True
33,2,0,0,0,1,True
32,2,0,0,0,1,True
31,2,0,0,0,1,True
30,2,0,0,0,1,True
29,10,0,0,0,0.7941176470588235,True
28,2,0,0,0,1,True
27,2,0,0,0,1,True
26,2,0,0,0,1,True
25,2,0,0,0,1,True
24,2,0,0,0,1,True
23,2,0,0,0,1,True
22,2,0,0,0,1,True
21,2,0,0,0,1,True
20,2,0,0,0,1,True
19,2,0,0,0,1,True
18,2,0,0,0,1,True
17,2,0,0,0,1,True
16,2,0,0,0,1,True
15,2,0,0,0,1,True
14,2,0,0,0,1,True
13,2,0,0,0,1,True
12,2,0,0,0,1,True
11,2,0,0,0,1,True
10,2,0,0,0,1,True
9,2,0,0,0,1,True
8,2,0,0,0,1,True
7,2,0,0,0,1,True
6,2,0,0,0,1,True
5,2,0,0,0,1,True
4,2,0,0,0,1,True
3,2,0,0,0,1,True
2,2,0,0,0,1,True
1,2,0,0,0,1,True
